2024-12-05 12:08:30,769 - INFO - hi
2024-12-05 12:08:36,209 - INFO - ====== 85 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/nfl-hall-of-famer-joe-thomas-slams-the-nfl-for-allowing-quarterbacks-like-trevor-lawrence-to-use-fake-slides-to-exploit-defenders/articleshow/115983222.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,224 - INFO - ====== 86 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/tom-brady-opens-about-sean-paytons-approach-to-bo-nix-as-broncos-hc-avoids-over-coaching-the-qb/articleshow/115980278.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,229 - INFO - ====== 87 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/nfl-playoff-is-setbut-with-the-underdogs-closing-in-the-nfl-playoffs-could-look-totally-different-by-january/articleshow/115979318.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,245 - INFO - ====== 88 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/nfl-week-14-fantasy-sleepers-could-romeo-doubs-be-the-x-factor-for-green-bay/articleshow/115976128.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,257 - INFO - ====== 89 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/how-to-watch-packers-vs-lions-week-14-thursday-night-football-start-time-and-streaming-info/articleshow/115974929.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,270 - INFO - ====== 90 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/nfl-schedule-week-14-must-watch-games-with-playoff-implications/articleshow/115967240.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,279 - INFO - ====== 91 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/deion-sanders-and-ex-wife-keep-distance-during-senior-day-celebration-for-sons-shedeur-and-shilo/articleshow/115965303.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,290 - INFO - ====== 92 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/i-dont-like-that-tom-brady-expressed-disapproval-of-the-label-dirty-player-used-against-azeez-al-shaair/articleshow/115958588.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,306 - INFO - ====== 93 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/cowboys-owner-jerry-jones-openly-discussed-the-teams-poor-performance-in-the-2024-nfl-season-amid-rumors-about-mike-mccarthys-future/articleshow/115955589.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,309 - INFO - ====== 94 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/the-denver-broncos-has-waived-wide-receiver-josh-reynolds-who-has-been-on-injured-reserve-since-week-5/articleshow/115955566.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,326 - INFO - ====== 95 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/hockey/top-stories/hurts-that-our-paris-olympics-hockey-bronze-wasnt-celebrated-like-tokyo-hardik-singh/articleshow/115994690.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,329 - INFO - ====== 96 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/hockey/top-stories/india-beat-pakistan-to-clinch-third-successive-junior-hockey-asia-cup-title/articleshow/115980291.cms', 'Title': 'No Title'}
